fsdownload_num,article_id,title,data_citation,data_doi,paper_title,paper_doi,license
128,7834790,Detrital zircon ages and Hf isotopic compositions of metasedimentary rocks in the Wuqia area of Southwest Tianshan NW China: implications for the early Paleozoic tectonic evolution of the Tianshan orogenic belt,Detrital zircon ages and Hf isotopic compositions of metasedimentary rocks in the Wuqia area of Southwest Tianshan NW China: implications for the early Paleozoic tectonic evolution of the Tianshan orogenic belt. Taylor & Francis. Huo Hailong; Chen Zhengle; Zhang Qing; Han Fengbin; Zhang Wengao.,10.6084/m9.figshare.7834790.v1,Detrital zircon ages and Hf isotopic compositions of metasedimentary rocks in the Wuqia area of Southwest Tianshan NW China: implications for the early Paleozoic tectonic evolution of the Tianshan orogenic belt,10.1080/00206814.2019.1579055,CC BY 4.0
129,2807758,Petrogenesis of early Silurian intrusions in the Sanchakou area of Eastern Tianshan Northwest China and tectonic implications: geochronological geochemical and Hf isotopic evidence,Petrogenesis of early Silurian intrusions in the Sanchakou area of Eastern Tianshan Northwest China and tectonic implications: geochronological geochemical and Hf isotopic evidence. Taylor & Francis. Wang Yin-Hong; Zhang Fang-Fang.,10.6084/m9.figshare.2807758,Petrogenesis of early Silurian intrusions in the Sanchakou area of Eastern Tianshan Northwest China and tectonic implications: geochronological geochemical and Hf isotopic evidence,10.1080/00206814.2016.1152516,CC BY 4.0
131,3454355,Provenance of late Palaeozoic metasediments of the SW South American Gondwana margin: a combined U-Pb and Hf-isotope study of single detrital zircons,"AUGUSTSSON CARITA; MÜNKER CARSTEN; BAHLBURG HEINRICH; FANNING C.MARK (2016): Provenance of late Palaeozoic metasediments of the SW South American Gondwana margin: a combined U–Pb and Hf-isotope study
                  of single detrital zircons. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.3454355.v1",10.6084/m9.figshare.3454355.v1,"Provenance of late Palaeozoic metasediments of the SW South American Gondwana margin: a combined U–Pb and Hf-isotope study
                  of single detrital zircons",10.1144/0016-76492005-149,CC BY 4.0
134,7094243,U-Pb detrital zircon geochronology and Hf isotopic composition of Permian clastic rocks Zhen an basin South Qinling belt: implications for the Paleozoic tectonic evolution of the Qinling orogenic belt,U–Pb detrital zircon geochronology and Hf isotopic composition of Permian clastic rocks Zhen’an basin South Qinling belt: implications for the Paleozoic tectonic evolution of the Qinling orogenic belt. Taylor & Francis. Cheng Cheng; Li Shuangying; Xie Xiangyang; Manger Walter L.; Busbey Arthur B..,10.6084/m9.figshare.7094243.v1,U–Pb detrital zircon geochronology and Hf isotopic composition of Permian clastic rocks Zhen’an basin South Qinling belt: implications for the Paleozoic tectonic evolution of the Qinling orogenic belt,10.1080/00206814.2018.1517393,CC BY 4.0
136,3153838,Ordovician volcano-sedimentary iron deposits of the Eastern Tianshan area Northwest China: the Tianhu example,Ordovician volcano–sedimentary iron deposits of the Eastern Tianshan area Northwest China: the Tianhu example. Taylor & Francis. Wu Chang-Zhi; Lei Ru-Xiong; Santosh M.; Chi Guo-Xiang; Gu Lian-Xing; Xie Si-Wen.,10.6084/m9.figshare.3153838,Ordovician volcano–sedimentary iron deposits of the Eastern Tianshan area Northwest China: the Tianhu example,10.1080/00206814.2016.1163516,CC BY 4.0
137,5687866,The origin of variable 18O zircons in Jurassic and Cretaceous Mo-bearing granitoids in the eastern Xing Meng Orogenic Belt Northeast China,The origin of variable-δ<sup>18</sup>O zircons in Jurassic and Cretaceous Mo-bearing granitoids in the eastern Xing–Meng Orogenic Belt Northeast China. Taylor & Francis. Hou Xue-Gang; Sun De-You; Gou Jun; Yang Dong-Guang.,10.6084/m9.figshare.5687866.v1,The origin of variable-δ<sup>18</sup>O zircons in Jurassic and Cretaceous Mo-bearing granitoids in the eastern Xing–Meng Orogenic Belt Northeast China,10.1080/00206814.2017.1411840,CC BY 4.0
138,3454526,Provenance of Lower Cretaceous sediments in the Wandel Sea Basin North Greenland,RØhr T.S.; Andersen T.; Dypvik H. (2016): Provenance of Lower Cretaceous sediments in the Wandel Sea Basin North Greenland. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.3454526.v1,10.6084/m9.figshare.3454526.v1,Provenance of Lower Cretaceous sediments in the Wandel Sea Basin North Greenland,10.1144/0016-76492007-102,CC BY 4.0
139,5766567,Petrogenesis and tectonic implications of Triassic A-type granites in southeastern China: insights from zircon U-Pb-Hf isotopic and whole-rock geochemical compositions of the Luoguyan and Guiyantou granites in northwestern Fujian Province,Petrogenesis and tectonic implications of Triassic A-type granites in southeastern China: insights from zircon U–Pb–Hf isotopic and whole-rock geochemical compositions of the Luoguyan and Guiyantou granites in northwestern Fujian Province. Taylor & Francis. Gao Wanli; Wang Zongxiu; Li Leilei; Tan Yuanlong.,10.6084/m9.figshare.5766567.v1,Petrogenesis and tectonic implications of Triassic A-type granites in southeastern China: insights from zircon U–Pb–Hf isotopic and whole-rock geochemical compositions of the Luoguyan and Guiyantou granites in northwestern Fujian Province,10.1080/00206814.2017.1422444,CC BY 4.0
140,12888539,Supplemental Material: High-precision geochronology requires that ultrafast mantle-derived magmatic fluxes built the transcrustal Bear Valley Intrusive Suite Sierra Nevada California USA,Klein Benjamin; al. et (2020): Supplemental Material: High-precision geochronology requires that ultrafast mantle-derived magmatic fluxes built the transcrustal Bear Valley Intrusive Suite Sierra Nevada California USA. Geological Society of America. Journal contribution. https://doi.org/10.1130/GEOL.S.12888539.v1,10.1130/GEOL.S.12888539.v1,High-precision geochronology requires that ultrafast mantle-derived magmatic fluxes built the transcrustal Bear Valley Intrusive Suite Sierra Nevada California USA,10.1130/G47952.1,CC BY-NC 4.0
142,5354035,Palaeoarchaean materials in the Tibetan Plateau indicated by zircon,Palaeoarchaean materials in the Tibetan Plateau indicated by zircon. Taylor & Francis. Sun Saijun; Ireland Trevor R; Zhang Lipeng; Zhang Rongqing; Zhang Chanchan; Sun Weidong.,10.6084/m9.figshare.5354035.v1,Palaeoarchaean materials in the Tibetan Plateau indicated by zircon,10.1080/00206814.2017.1367967,CC BY 4.0
